id,sc,tc
1,32.0,46.97435704726461
2,32.0,48.630165743455876
3,32.0,48.82713736594586
4,32.0,48.08090435558757
5,32.0,48.47236009456968
6,32.0,46.47113564321671
7,32.0,46.44165236481638
8,32.0,46.483532482829396
9,32.0,46.56604483763449
10,32.0,46.00096981689188
